product_id,name,category,description,stock,seasons,price
RSG8901,Retro Sunglasses,Accessories,"Transport yourself back in time with our retro sunglasses. These vintage-inspired shades offer a cool, nostalgic vibe while protecting your eyes from the sun's rays. Perfect for beach days or city strolls.",1,"Spring, Summer",26.99
SWL2345,Sleek Wallet,Accessories,"Keep your essentials organized and secure with our sleek wallet. Featuring multiple card slots and a billfold compartment, this stylish wallet is both functional and fashionable. Perfect for everyday carry.",5,All seasons,30
VSC6789,Versatile Scarf,Accessories,"Add a touch of versatility to your wardrobe with our versatile scarf. This lightweight, multi-purpose accessory can be worn as a scarf, shawl, or even a headwrap. Perfect for transitional seasons or travel.",6,"Spring, Fall",23
CSH1098,Cozy Shawl,Accessories,"Wrap yourself in comfort with our cozy shawl. Knitted from soft, warm yarn, this versatile accessory can be worn as a shawl, scarf, or even a lightweight blanket. Perfect for chilly evenings or adding a cozy layer to your outfit.",3,"Fall, Winter",22
CHN0987,Chunky Knit Beanie,Accessories,"Keep your head toasty with our chunky knit beanie. Knitted from thick, cozy yarn, this trendy beanie offers a slouchy, oversized fit and a touch of rustic charm. A versatile accessory to elevate your cold-weather looks.",2,"Fall, Winter",22
LTH0976,Leather Bifold Wallet,Accessories,"Upgrade your everyday carry with our leather bifold wallet. Crafted from premium, full-grain leather, this sleek wallet features multiple card slots, a billfold compartment, and a timeless, minimalist design. A sophisticated choice for any occasion.",4,All seasons,21
FZZ1098,Fuzzy Slippers,Accessories,"Cozy up in our fuzzy slippers. These ultra-soft slippers feature a plush, fuzzy exterior and a cushioned, moisture-wicking footbed for ultimate comfort. An ideal choice for lounging at home or running errands on chilly days.",2,"Fall, Winter",29
FRP9876,Fringe Poncho,Accessories,Add a boho-chic touch to your outfits with our fringe poncho. This statement accessory features a cozy knit construction and a trendy fringe trim. A versatile layering piece for chilly days or evening events.,3,"Fall, Winter",43
BKR0123,Bucket Hat,Accessories,"Protect your face from the sun in style with our trendy bucket hat. This casual hat features a cotton construction and a wide, floppy brim. A must-have accessory for beach days, music festivals, or adding a touch of streetwear flair.",3,"Spring, Summer",39.99
CBY6789,Corduroy Bucket Hat,Accessories,"Keep it casual and cool with our corduroy bucket hat. This trendy hat features a soft corduroy construction and a relaxed, bucket silhouette. A must-have accessory for achieving a laidback, streetwear-inspired look.",3,"Fall, Winter",28
CLF2109,Cable Knit Beanie,Accessories,"Bundle up in our cable knit beanie. Knitted from premium wool, this classic beanie features a timeless cable knit pattern and a soft, stretchy fit. A versatile accessory for adding a touch of warmth and texture to your cold-weather looks.",2,Winter,16
LTG5432,Leather Gloves,Accessories,"Protect your hands in style with our leather gloves. Crafted from buttery soft leather, these gloves feature a sleek, minimalist design and a warm fleece lining. A timeless and sophisticated choice for cold days.",1,Winter,31
CPN3210,Cashmere Poncho,Accessories,"Wrap yourself in luxury with our cashmere poncho. Knitted from premium cashmere yarn, this ultra-soft poncho offers a cozy, enveloping warmth. A stylish and versatile layering piece for chilly winter days.",3,Winter,48
SFT1098,Infinity Scarf,Accessories,"Stay cozy and stylish with our infinity scarf. This versatile accessory features a soft, chunky knit construction and an endless loop design for easy wearing. Perfect for adding a touch of warmth and texture to your winter ensembles.",8,Winter,28
ERM5432,Earmuffs,Accessories,"Keep your ears toasty with our earmuffs. These plush earmuffs feature a soft, faux fur exterior and an adjustable headband for a secure fit. A practical and stylish accessory for braving the cold in comfort.",2,Winter,23
VBT2345,Vibrant Tote,Bags,"Add a pop of color to your everyday carry with our vibrant tote bag. Spacious and stylish, it's the perfect companion for running errands or carrying your essentials. The vibrant hue is sure to turn heads.",4,All seasons,39
SBP4567,Sleek Backpack,Bags,"Streamline your daily carry with our sleek backpack. Designed for both style and functionality, this bag features multiple compartments to keep your essentials organized and a padded laptop sleeve for added protection.",6,All seasons,29.99
CCB6789,Chic Crossbody,Bags,"Keep your essentials close with our chic crossbody bag. Compact yet spacious, this stylish bag features multiple compartments and adjustable straps for a comfortable carry. Perfect for everyday use or travel.",7,All seasons,35
CCH6789,Chic Clutch,Bags,Add a touch of sophistication to your evening look with our chic clutch. This elegant bag features a sleek design and a detachable strap for versatility. Perfect for special occasions or date nights.,4,All seasons,36.99
CBG9876,Canvas Beach Bag,Bags,"Pack your essentials in style with our canvas beach bag. Spacious and durable, this bag features a nautical-inspired print and interior pockets for organization. Perfectly sized for a day at the beach or a weekend getaway. Buy one, get one 50% off!",1,"Spring, Summer",24
LTH5432,Leather Tote,Bags,"Elevate your everyday carry with our leather tote bag. Crafted from premium, full-grain leather, this bag features a spacious interior, multiple pockets, and sturdy handles. Perfect for work, travel, or running errands in style.",6,All seasons,28
LTH1098,Leather Backpack,Bags,"Upgrade your daily carry with our leather backpack. Crafted from premium leather, this stylish backpack features multiple compartments, a padded laptop sleeve, and adjustable straps for a comfortable fit. Perfect for work, travel, or everyday use.",7,All seasons,43.99
MSK1098,Metallic Clutch,Bags,"Add a touch of glamour to your evening ensemble with our metallic clutch. This sleek, compact clutch features a shimmering metallic finish and a detachable chain strap for versatility. Perfect for special occasions or adding a touch of elegance to any outfit.",8,All seasons,38.99
LTH2109,Leather Messenger Bag,Bags,"Carry your essentials in style with our leather messenger bag. Crafted from premium, full-grain leather, this bag features a spacious main compartment, multiple pockets, and an adjustable strap for a comfortable fit. A timeless choice for work, travel, or everyday use.",4,All seasons,37.99
QTP5432,Quilted Tote,Bags,"Carry your essentials in style with our quilted tote bag. This spacious bag features a classic quilted design, multiple interior pockets, and sturdy handles. A chic and practical choice for work, travel, or everyday use. Limited-time sale - get 25% off!",7,All seasons,29
FRP6789,Fringe Crossbody,Bags,Embrace boho-chic style with our fringe crossbody bag. This compact bag features a fringed exterior and a stylish saddle shape. Perfect for adding a touch of free-spirited flair to any outfit.,2,"Spring, Summer, Fall",67
SDE2345,Saddle Bag,Bags,"Channel vintage charm with our saddle bag. This compact crossbody features a classic saddle shape and a trendy, minimalist design. Perfect for adding a touch of retro flair to any ensemble. Limited stock available!",1,All seasons,39
DLD0123,Delightful Dress,Kids' Clothing,"Let your little one shine in our delightful dress. Adorned with playful prints and vibrant colors, this dress is perfect for parties, playdates, or any special occasion. Comfortable and easy to move in.",3,"Spring, Summer",46
STT4567,Striped Tee,Kids' Clothing,"Keep your little one looking stylish with our striped tee. Made from soft, breathable cotton, this classic t-shirt is perfect for playdates or casual outings. The striped pattern adds a fun, playful touch.",3,"Spring, Summer, Fall",24
CPJ2345,Cozy Pajama Set,Kids' Clothing,"Keep your little one snug as a bug with our cozy pajama set. Crafted from soft, breathable materials, this set features playful prints and comfortable designs. Perfect for bedtime or lazy mornings.",5,All seasons,27
LFL7654,Long Fleece Robe,Loungewear,"Cozy up at home in our long fleece robe. This ultra-soft robe features a plush, sherpa-like fleece construction and a relaxed, ankle-length silhouette. Perfect for lounging, relaxing, or staying warm on chilly winter mornings.",6,Winter,38
PTR9876,Patterned Tie,Men's Accessories,"Add a pop of personality to your professional attire with our patterned tie. This eye-catching tie features a bold, unique pattern and is crafted from high-quality silk. Perfect for adding a touch of style to your suit or dress shirt.",1,All seasons,37
CSW6789,Cozy Sweater,Men's Clothing,"Stay warm and stylish with our cozy sweater. Crafted from soft, high-quality materials, this sweater is perfect for layering or wearing on its own. The classic design makes it a wardrobe staple.",6,"Fall, Winter",48
DJN8901,Distressed Jeans,Men's Clothing,"Add a touch of edgy cool to your wardrobe with our distressed jeans. Featuring strategic rips and fading, these jeans offer a lived-in, vintage vibe. Perfect for casual outings or dressing up with a blazer.",5,"Spring, Summer, Fall",57.99
CPL0123,Casual Polo,Men's Clothing,"Keep it cool and casual with our classic polo shirt. Made from breathable cotton, this timeless piece is perfect for golf outings, weekend wear, or casual Fridays at the office.",7,"Spring, Summer, Fall",39
RCS0123,Rugged Cargo Shorts,Men's Clothing,"Gear up for adventure with our rugged cargo shorts. Featuring multiple pockets and a durable construction, these shorts are perfect for outdoor activities or casual weekend wear.",6,"Spring, Summer",45
TLR5432,Tailored Suit,Men's Clothing,"Exude confidence and professionalism with our tailored suit. Crafted from premium wool, this suit features a sleek, modern fit and impeccable tailoring. Perfect for important meetings, job interviews, or formal events. Limited-time sale - get the full suit for the price of the blazer!",4,"Fall, Winter, Spring",55
RGD7654,Rugged Denim Jacket,Men's Clothing,"Embrace the classic with our rugged denim jacket. Crafted from durable, high-quality denim, this jacket features a vintage-inspired wash and distressed details. Layer it over a tee for a casual, cool vibe or dress it up with a button-down.",5,"Spring, Fall",41
LNS3210,Linen Shorts,Men's Clothing,"Beat the heat in style with our linen shorts. Crafted from lightweight, breathable linen, these shorts offer a relaxed fit and a classic, timeless look. Perfect for lounging, beach days, or casual summer outings. Limited stock - don't miss out!",3,"Spring, Summer",43
CML7654,Camo Print Tee,Men's Clothing,"Embrace the military-inspired trend with our camo print tee. This casual t-shirt features a bold camo print and is crafted from soft, breathable cotton. Perfect for casual outings, weekend wear, or layering under a jacket.",2,"Spring, Summer, Fall",43
PLV8765,Plaid Flannel Vest,Men's Clothing,"Layer up with our plaid flannel vest. This cozy vest features a classic plaid pattern and is crafted from soft, warm flannel. Perfect for adding a touch of ruggedness to your casual or outdoor looks. Buy one, get a matching plaid shirt at 50% off!",1,"Fall, Winter",42
PLD9876,Plaid Button-Down,Men's Clothing,"Add a touch of classic style to your wardrobe with our plaid button-down shirt. Crafted from soft, lightweight cotton, this shirt features a timeless plaid pattern and a relaxed, comfortable fit. A go-to choice for casual Fridays at the office or weekend brunch.",8,"Spring, Fall",49
HNG3210,Hooded Nylon Jacket,Men's Clothing,"Stay dry and stylish with our hooded nylon jacket. This lightweight jacket features a water-resistant nylon construction, a adjustable hood, and multiple pockets for practicality. An ideal outer layer for unpredictable weather or outdoor adventures.",6,"Spring, Fall",39
CBL5432,Cable Knit Sweater,Men's Clothing,"Stay warm in style with our cable knit sweater. Crafted from premium wool, this timeless sweater features a classic cable knit pattern and a cozy, relaxed fit. An elevated choice for casual outings or layering over a button-down.",2,"Fall, Winter",54
BMX2345,Bomber Jacket,Men's Clothing,Add a touch of cool to your wardrobe with our bomber jacket. This lightweight jacket features a classic bomber silhouette and a trendy satin fabric. Perfect for layering or making a statement on its own. Limited quantities available!,1,"Spring, Fall",74
FLN2345,Flannel Shacket,Men's Clothing,"Layer up in rugged style with our flannel shacket. This versatile piece combines the warmth of a shirt with the utility of a jacket, featuring a cozy flannel construction and a relaxed, oversized fit. A quintessential piece for outdoor adventures or casual weekend wear.",2,"Fall, Winter",74.99
PTN4567,Patterned Joggers,Men's Clothing,"Elevate your loungewear with our patterned joggers. These cozy joggers feature a bold, eye-catching print and a relaxed, tapered fit. Perfect for lazy days at home or running errands in style. Quantities are limited!",1,"Spring, Fall",50
PTD8901,Patchwork Denim Jacket,Men's Clothing,"Make a statement with our patchwork denim jacket. This one-of-a-kind piece features a patchwork construction of different denim washes and textures. A unique, eye-catching choice for achieving an edgy, individualistic look. Hurry, almost sold out!",1,"Spring, Fall",74.99
THK0976,Thermal Henley,Men's Clothing,"Layer up in warmth with our thermal henley. This cozy top features a soft, waffle-knit construction and a classic henley silhouette. Perfect for wearing as a base layer or on its own for casual, cold-weather style.",7,Winter,37
HDD9876,Hooded Down Vest,Men's Clothing,"Stay warm without the weight in our hooded down vest. This lightweight vest features a water-resistant outer shell, cozy down insulation, and an adjustable hood for added warmth. Perfect for layering or wearing on its own during milder winter days.",5,Winter,61
FNK9876,Fair Isle Sweater,Men's Clothing,"Add a touch of pattern to your cold-weather looks with our fair isle sweater. This cozy sweater features a classic fair isle knit pattern and a relaxed, crew neck silhouette. Perfect for layering or wearing on its own for a touch of heritage style.",4,Winter,62.99
SKR3210,Ski Sweater,Men's Clothing,"Hit the slopes in style with our ski sweater. This cozy sweater features a chunky knit construction, a bold pattern, and a relaxed, oversized fit. Perfect for apres-ski or adding a touch of retro flair to your winter wardrobe.",5,Winter,57
RBT0123,Rugged Boots,Men's Shoes,"Tackle any terrain with our rugged boots. Crafted from durable materials and featuring a sturdy sole, these boots offer both style and functionality. Perfect for outdoor adventures or city explorations.",6,"Fall, Winter",39
SLP7654,Slip-on Sneakers,Men's Shoes,"Step into comfort and style with our slip-on sneakers. These casual sneakers feature a sleek, minimalist design and a lightweight, cushioned sole. Perfect for running errands, casual outings, or weekend wear.",4,"Spring, Summer, Fall",38
SLD7654,Slide Sandals,Men's Shoes,"Slip into comfort with our slide sandals. These casual sandals feature a lightweight, moisture-wicking design and a cushioned footbed for all-day support. An ideal choice for beach days, pool parties, or running errands in warm weather.",3,"Spring, Summer",22
CBT8901,Chelsea Boots,Men's Shoes,"Elevate your casual looks with our Chelsea boots. These stylish ankle boots feature a sleek leather construction, elastic side panels, and a sturdy lug sole. An essential for completing modern, edgy outfits.",2,"Fall, Winter",65
WTR7654,Waterproof Boots,Men's Shoes,"Stay dry and comfortable in our waterproof boots. These durable boots feature a water-resistant outer shell, a cozy fleece lining, and a rugged, lug sole for traction. An essential for navigating snowy or rainy conditions.",6,Winter,51
CHL4567,Chic Blazer,Women's Clothing,"Elevate your style game with our chic blazer. Crafted from premium materials, this timeless piece is perfect for the office or a night out. Pair it with trousers or a skirt for a polished look.",5,"Fall, Winter, Spring",70
FSD2345,Floral Sundress,Women's Clothing,"Embrace the warm weather in our floral sundress. This breezy, lightweight dress features a vibrant floral print and a flattering silhouette. Perfect for sunny days or tropical vacations.",4,"Spring, Summer",58
CCG8901,Cozy Cardigan,Women's Clothing,"Layer up in style with our cozy cardigan. Crafted from soft, warm materials, this versatile piece can be dressed up or down. Perfect for chilly days or chilly office spaces.",4,"Fall, Winter, Spring",61.99
WSK4567,Whimsical Skirt,Women's Clothing,"Embrace your playful side with our whimsical skirt. Featuring a vibrant print and a flattering A-line silhouette, this skirt is perfect for adding a touch of fun to your wardrobe. Pair it with a tee or blouse.",3,"Spring, Summer",52
FLD9876,Floral Maxi Dress,Women's Clothing,"Embrace the blooming season with our floral maxi dress. This breezy, lightweight dress features a vibrant floral pattern and a flattering silhouette that flows gracefully with every step. Perfect for garden parties, beach vacations, or romantic evenings. Act now and get 20% off!",7,"Spring, Summer",56
PTD3210,Printed Tunic Dress,Women's Clothing,"Stand out from the crowd with our printed tunic dress. This vibrant, eye-catching dress features a bold print and a flattering, relaxed silhouette. Perfect for running errands, casual outings, or a weekend brunch with friends.",5,"Spring, Summer",67.99
FBL9876,Floral Blouse,Women's Clothing,"Add a touch of femininity to your wardrobe with our floral blouse. This elegant top features a vibrant floral print and a flattering, flowy silhouette. Dress it up with trousers or a skirt for the office or pair it with jeans for a casual weekend look.",6,"Spring, Summer, Fall",42
CHN5432,Chunky Knit Sweater,Women's Clothing,"Stay cozy and stylish with our chunky knit sweater. Crafted from soft, high-quality yarn, this oversized sweater features a trendy, chunky knit pattern and a relaxed fit. Perfect for layering or wearing on its own.",4,"Fall, Winter",79.99
CRD3210,Corduroy Pants,Women's Clothing,"Embrace the retro trend with our corduroy pants. Crafted from soft, textured corduroy, these high-waisted pants offer a flattering fit and a touch of vintage charm. Dress them up with a blouse or keep it casual with a tee.",5,"Fall, Winter",65
BMX5432,Bomber Jacket,Women's Clothing,"Channel your inner rebel with our bomber jacket. Crafted from soft, lightweight material, this jacket features a classic bomber silhouette and a trendy, cropped length. Perfect for layering or making a statement on its own. Buy now and get a free matching beanie!",6,"Spring, Fall",62.99
KMN3210,Knit Mini Dress,Women's Clothing,"Effortless and chic, our knit mini dress is a must-have for your wardrobe. Crafted from a soft, stretchy knit material, this form-fitting dress features a flattering silhouette and a trendy, mini length. Perfect for date nights, girls' nights out, or dressing up or down. Limited-time sale - get two for the price of one!",4,"Spring, Summer, Fall",53
FLT5678,Flowy Linen Top,Women's Clothing,"Embrace effortless style with our flowy linen top. Crafted from airy, breathable linen, this relaxed top features a flattering drape and a chic, minimalist design. An ideal choice for warm weather or layering during transitional seasons.",8,"Spring, Summer",41
DST6543,Distressed Skinny Jeans,Women's Clothing,"Edgy meets comfortable in our distressed skinny jeans. These figure-hugging jeans feature strategic rips, fading, and a soft, stretchy denim construction. Pair them with a graphic tee for a casual, cool vibe. Limited stock - grab yours now!",6,"Spring, Summer, Fall",56
EMB4321,Embroidered Blouse,Women's Clothing,"Add a touch of bohemian flair to your wardrobe with our embroidered blouse. This airy, lightweight blouse features intricate embroidery and a relaxed, flowy silhouette. An eye-catching choice for vacations, festivals, or casual outings.",7,"Spring, Summer",64
RBB5432,Ribbed Bodycon Dress,Women's Clothing,"Accentuate your curves with our ribbed bodycon dress. This form-fitting dress features a ribbed knit construction and a flattering, bodycon silhouette. A versatile choice for date nights, girls' nights out, or dressing up or down.",5,"Spring, Summer, Fall",48.99
CPT1098,Camo Print Tee,Women's Clothing,"Embrace the military-inspired trend with our camo print tee. This casual t-shirt features a bold camo print and is crafted from soft, breathable cotton. A laidback choice for running errands, weekend wear, or layering under a jacket.",2,"Spring, Summer, Fall",47
OVR3210,Overalls Jumpsuit,Women's Clothing,"Channel your inner cool-girl vibe with our overalls jumpsuit. This trendy one-piece features a relaxed, oversized fit and adjustable straps for a customized look. A versatile choice for casual outings, festivals, or weekend wear.",6,"Spring, Summer, Fall",55.99
BTN7654,Button-Front Skirt,Women's Clothing,Add a touch of retro charm to your look with our button-front skirt. This midi-length skirt features a flattering A-line silhouette and a row of buttons down the front. A versatile choice for dressing up or down.,4,"Spring, Summer, Fall",71.99
CLR1098,Colorblock Raincoat,Women's Clothing,"Brighten up rainy days with our colorblock raincoat. This water-resistant coat features a bold colorblock design and a flattering, belted silhouette. A stylish and practical choice for unpredictable weather.",7,"Spring, Fall",52
LTH6789,Leather Moto Jacket,Women's Clothing,Channel your inner rebel with our leather moto jacket. This edgy jacket is crafted from buttery soft leather and features a classic moto silhouette with zippered details. An iconic piece that instantly elevates any outfit.,2,"Fall, Winter, Spring",72
SKT4567,Satin Skirt,Women's Clothing,"Indulge in luxury with our satin skirt. This elegant skirt features a lustrous satin fabric and a flattering, bias-cut silhouette. A sophisticated choice for date nights, cocktail parties, or dressing up any ensemble. Hurry, limited stock!",1,All seasons,94.99
DTD0123,Denim Trucker Jacket,Women's Clothing,"A timeless staple, our denim trucker jacket is a must-have for any fashion-forward wardrobe. Crafted from sturdy denim, this jacket features a classic trucker silhouette with button-front closure. Layer it over dresses or pair it with jeans for a cool, casual look.",3,"Spring, Fall",79
LGG4567,Faux Leather Leggings,Women's Clothing,"Elevate your athleisure game with our faux leather leggings. These sleek leggings feature a ultra-soft faux leather construction and a flattering, stretchy fit. Perfect for dressing up or down and achieving an edgy, fashion-forward look.",2,"Fall, Winter",71
CLR6789,Colorblock Sweater,Women's Clothing,"Make a bold statement with our colorblock sweater. This eye-catching knit features a vibrant colorblock design and a relaxed, oversized silhouette. A standout piece for adding a pop of color to your cold-weather wardrobe.",1,"Fall, Winter",92
VNL8901,Vinyl Trench Coat,Women's Clothing,"Make a statement in our vinyl trench coat. This modern take on a classic features a sleek vinyl construction and a flattering, belted silhouette. A head-turning choice for rainy days or adding an edgy touch to any outfit.",2,"Spring, Fall",72
FZF0123,Fuzzy Fleece Jacket,Women's Clothing,"Cozy up in our fuzzy fleece jacket. This ultra-soft jacket features a plush, sherpa-like fleece construction and a relaxed, oversized fit. Perfect for lounging at home or running errands on chilly days.",2,"Fall, Winter",86
CGN2345,Cargo Pants,Women's Clothing,"Functionality meets style in our cargo pants. These utilitarian-inspired pants feature multiple pockets and a relaxed, straight-leg fit. Perfect for outdoor adventures, travel, or adding a touch of edge to your casual looks.",2,"Spring, Summer, Fall",80
PWD6543,Puffer Parka,Women's Clothing,"Stay toasty all winter long in our puffer parka. This heavyweight jacket features a water-resistant outer shell, cozy down insulation, and a faux-fur trimmed hood for added warmth. An essential for braving the cold in style.",8,Winter,38
SWT8765,Sweater Dress,Women's Clothing,"Cozy meets chic in our sweater dress. This sweater-knit dress features a form-fitting silhouette and a trendy, midi length. Layer it over tights or leggings for a polished yet comfortable winter look.",6,Winter,63
FZV1098,Fuzzy Vest,Women's Clothing,"Snuggle up in our fuzzy vest. This ultra-cozy vest features a plush, sherpa-like fleece construction and a relaxed, oversized fit. Perfect for layering over sweaters or adding a touch of warmth to any winter outfit.",4,Winter,58
QTD5432,Quilted Down Coat,Women's Clothing,"Brave the cold in style with our quilted down coat. This heavyweight coat features a water-resistant outer shell, cozy down insulation, and a flattering, belted silhouette. A fashion-forward choice for staying warm all winter long.",4,Winter,60
FLC7654,Fleece-Lined Leggings,Women's Clothing,"Stay warm and comfortable all winter long in our fleece-lined leggings. These stretchy leggings feature a soft, brushed interior for added warmth and a sleek, opaque outer layer. Perfect for layering under dresses, tunics, or wearing on their own.",7,Winter,63
LDR3210,Lined Dress Coat,Women's Clothing,"Elevate your winter wardrobe with our lined dress coat. This elegant coat features a wool-blend outer shell, a cozy quilted lining, and a flattering, belted silhouette. A sophisticated choice for staying warm and stylish all season long.",3,Winter,67.99
WTL1098,Wool Trench Coat,Women's Clothing,"Brave the elements in style with our wool trench coat. This classic coat features a warm wool-blend construction, a water-resistant outer shell, and a flattering, belted silhouette. A timeless and sophisticated choice for cold, rainy days.",2,Winter,72
SCS9876,Sweater Coat,Women's Clothing,"Bundle up in warmth and style with our sweater coat. This cozy coat features a soft, sweater-knit construction and a flattering, belted silhouette. Perfect for layering over dresses, leggings, or jeans on chilly winter days.",3,Winter,56
SSN8901,Stylish Sneakers,Women's Shoes,"Step out in style with our trendy sneakers. Combining comfort and fashion, these sneakers feature a sleek design and cushioned soles. Perfect for running errands or casual outings.",6,"Spring, Summer, Fall",30
MSL1098,Metallic Slingbacks,Women's Shoes,Add a touch of glamour to your evening ensemble with our metallic slingbacks. These stylish heels feature a shimmering metallic finish and a comfortable slingback design. Perfect for dancing the night away or making a statement at a formal event.,6,All seasons,51
SND7654,Strappy Sandals,Women's Shoes,"Step into summer with our strappy sandals. These open-toe sandals feature a trendy, strappy design and a comfortable, cushioned footbed. Perfect for beach days, outdoor events, or casual weekend wear.",8,"Spring, Summer",27
CHK8901,Chunky Sneakers,Women's Shoes,"Step into trendy style with our chunky sneakers. These statement sneakers feature a bold, chunky sole and a sleek leather or knit upper. A must-have for fashion-savvy individuals who appreciate both style and comfort. Only a few pairs left!",1,"Spring, Fall",42
MLR0123,Mule Loafers,Women's Shoes,"Slip into effortless style with our mule loafers. These sleek slip-on shoes feature a classic loafer silhouette and a trendy mule design. A chic and comfortable choice for the office, running errands, or weekend brunch.",2,"Spring, Fall",47
CLG4567,Clog Sandals,Women's Shoes,"Step into retro-inspired style with our clog sandals. These open-toe sandals feature a classic clog silhouette and a sturdy, wooden sole. A trendy and comfortable choice for casual outings or weekend wear.",3,"Spring, Summer",48
SNB4321,Snow Boots,Women's Shoes,"Brave the elements in our durable snow boots. These waterproof boots feature a rugged, lug sole for traction, a cozy fleece lining, and a water-resistant outer shell. A must-have for outdoor adventures or navigating snowy conditions.",5,Winter,41